ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
503410203,Totton College,50.9203295,-1.5080070,,,,,,,,,,,,,,,,,,,Water Lane,Calmore Road
503410207,Calmore Service Station,50.9227023,-1.5141425,,,,,,,,,,,,,,,,,,,Calmore Road,Michigan Way
503410212,Calmore Service Station,50.9228831,-1.5143825,,,,,,,,,,,,,,,,,,,Calmore Road,Michigan Way
503410214,Michigan Way,50.9244633,-1.5181081,,,,,,,,,,,,,,,,,,,Calmore Road,Michigan Way
503410215,Michigan Way,50.9245080,-1.5180507,,,,,,,,,,,,,,,,,,,Calmore Road,Michigan Way
503410218,Shepherds Hey Road,50.9271903,-1.5208261,,,,,,,,,,,,,,,,,,,Calmore Road,Shepherds Hey Road
503410222,Shepherds Hey Road,50.9271997,-1.5209398,,,,,,,,,,,,,,,,,,,Calmore Road,Shepherds Hey Road
503410226,Calmore Post Office,50.9289757,-1.5198259,,,,,,,,,,,,,,,,,,,Calmore Road,The Drove
503410229,Calmore Post Office,50.9290209,-1.5198824,,,,,,,,,,,,,,,,,,,Calmore Road,Loperwood Lane
503410234,Loperwood Crossroads,50.9316054,-1.5185892,,,,,,,,,,,,,,,,,,,Calmore Road,Cooks Lane
503410238,Loperwood Crossroads,50.9316051,-1.5185039,,,,,,,,,,,,,,,,,,,Calmore Road,Friars Croft
503410241,Coppice Road,50.9322413,-1.5114674,,,,,,,,,,,,,,,,,,,Calmore Drive,Coppice Road
503410243,Embley Close,50.9311817,-1.5096713,,,,,,,,,,,,,,,,,,,Calmore Drive,Embley Close
503410246,Bearslane Close,50.9280528,-1.5090877,,,,,,,,,,,,,,,,,,,Bearslane Close,Blackwater Drive
503410249,Mortimer Close,50.9255556,-1.5061875,,,,,,,,,,,,,,,,,,,Blackwater Drive,Opp Mortimer Close
503410256,Sarum Compton House,50.9252576,-1.5101746,,,,,,,,,,,,,,,,,,,Blackwater Drive,
503410259,Bowater Way,50.9243639,-1.5119149,,,,,,,,,,,,,,,,,,,Calmore Drive,Blackwater Drive
503411550,Butts Ash Lane,50.8542210,-1.3997649,,,,,,,,,,,,,,,,,,,Fawley Road,Frost Lane
503411553,Butts Ash Lane,50.8536987,-1.3996153,,,,,,,,,,,,,,,,,,,Fawley Road,Butts Ash Lane
503411555,Crete Lane,50.8523493,-1.4118927,,,,,,,,,,,,,,,,,,,Watermans Lane,Crete Lane
503411558,Crete Lane,50.8523850,-1.4118354,,,,,,,,,,,,,,,,,,,Watermans Lane,Crete Lane
503411561,Watermans Lane,50.8519469,-1.4105623,,,,,,,,,,,,,,,,,,,Crete Road,Corbould Road
503411563,Watermans Lane,50.8519107,-1.4105202,,,,,,,,,,,,,,,,,,,Crete Road,Corbould Road
